cve_id,schema_version,date_generated,kev_vulnerability_name,kev_date_added,kev_day_added,kev_date_due,kev_days_allotted,kev_short_deadline,kev_ransomware,cvss_version,cvss_attack_vector,cvss_attack_complexity,cvss_privileges_required,cvss_scope,cvss_user_interaction,cvss_confidentiality_impact,cvss_integrity_impact,cvss_availability_impact,cvss_vector_string,cvss_base_score,cvss_base_severity,ssvc_exploitation,ssvc_automatable,ssvc_technical_impact,epss_today,epss_percentile,epss_delta,attck_technique_count,attck_capability_groups,has_metasploit,metasploit_module_count,min_metasploit_delta,has_nuclei,nuclei_template_count,min_nuclei_delta
CVE-2002-0367,1.0.0-dev,2025-12-29T18:06:40.105Z,Microsoft Windows Privilege Escalation,2022-03-03,Thursday,2022-03-24,21,false,false,3.1,LOCAL,LOW,LOW,UNCHANGED,NONE,HIGH,HIGH,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,7.8,HIGH,active,no,total,0.00684,0.71043,0.0,0,"",false,0,,false,0,
CVE-2004-0210,1.0.0-dev,2025-12-29T18:06:40.104Z,Microsoft Windows Privilege Escalation,2022-03-03,Thursday,2022-03-24,21,false,false,3.1,LOCAL,LOW,LOW,UNCHANGED,NONE,HIGH,HIGH,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,7.8,HIGH,active,no,total,0.02519,0.84983,0.0,0,"",false,0,,false,0,
CVE-2004-1464,1.0.0-dev,2025-12-29T18:06:39.091Z,Cisco IOS Denial-of-Service,2023-05-19,Friday,2023-06-09,21,false,false,3.1,NETWORK,HIGH,NONE,UNCHANGED,NONE,NONE,NONE,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,5.9,MEDIUM,active,no,partial,0.01698,0.81806,0.0,0,"",false,0,,false,0,
CVE-2005-2773,1.0.0-dev,2025-12-29T18:06:39.888Z,HP OpenView Network Node Manager Remote Code Execution,2022-03-25,Friday,2022-04-15,21,false,false,3.1,NETWORK,LOW,NONE,UNCHANGED,NONE,HIGH,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,active,yes,total,0.89464,0.99528,0.0,0,"",true,1,-5558,false,0,
CVE-2006-1547,1.0.0-dev,2025-12-29T18:06:40.183Z,Apache Struts 1 ActionForm Denial-of-Service,2022-01-21,Friday,2022-07-21,181,false,false,3.1,NETWORK,LOW,NONE,UNCHANGED,NONE,NONE,NONE,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,HIGH,active,yes,partial,0.17326,0.94822,0.0,0,"",false,0,,false,0,
CVE-2006-2492,1.0.0-dev,2025-12-29T18:06:39.454Z,Microsoft Word Malformed Object Pointer,2022-06-08,Wednesday,2022-06-22,14,true,false,3.1,NETWORK,LOW,NONE,UNCHANGED,REQUIRED,HIGH,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,8.8,HIGH,active,no,total,0.7722,0.98925,0.0,0,"",false,0,,false,0,
CVE-2007-0671,1.0.0-dev,2025-12-29T18:06:38.198Z,Microsoft Office Excel Remote Code Execution,2025-08-12,Tuesday,2025-09-02,21,false,false,3.1,NETWORK,LOW,NONE,UNCHANGED,REQUIRED,HIGH,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,8.8,HIGH,active,no,total,0.68363,0.9854,0.0,0,"",false,0,,false,0,
CVE-2007-3010,1.0.0-dev,2025-12-29T18:06:39.638Z,Alcatel OmniPCX Enterprise Remote Code Execution,2022-04-15,Friday,2022-05-06,21,false,false,3.1,NETWORK,LOW,NONE,UNCHANGED,NONE,HIGH,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,active,yes,total,0.94007,0.99885,0.0,0,"",true,1,-4609,true,1,546
CVE-2007-5659,1.0.0-dev,2025-12-29T18:06:39.453Z,Adobe Acrobat and Reader Buffer Overflow,2022-06-08,Wednesday,2022-06-22,14,true,false,3.1,LOCAL,LOW,NONE,UNCHANGED,REQUIRED,HIGH,HIGH,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,7.8,HIGH,active,no,total,0.93512,0.99812,0.0,1,buffer_overflow,true,1,-4820,false,0,
CVE-2008-0655,1.0.0-dev,2025-12-29T18:06:39.450Z,Adobe Acrobat and Reader Unspecified,2022-06-08,Wednesday,2022-06-22,14,true,false,3.1,NETWORK,LOW,NONE,UNCHANGED,REQUIRED,HIGH,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,8.8,HIGH,active,no,total,0.68768,0.98559,0.0,1,other,false,0,,false,0,
CVE-2008-2992,1.0.0-dev,2025-12-29T18:06:40.102Z,Adobe Reader and Acrobat Input Validation,2022-03-03,Thursday,2022-03-24,21,false,true,3.1,LOCAL,LOW,NONE,UNCHANGED,REQUIRED,HIGH,HIGH,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,7.8,HIGH,active,no,total,0.93759,0.9984,0.0,1,input_validation,true,2,-4838,false,0,
CVE-2008-3431,1.0.0-dev,2025-12-29T18:06:40.100Z,Oracle VirtualBox Insufficient Input Validation,2022-03-03,Thursday,2022-03-24,21,false,false,3.1,LOCAL,LOW,LOW,CHANGED,NONE,HIGH,HIGH,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,8.8,HIGH,active,no,total,0.05378,0.89787,0.0,0,"",false,0,,false,0,
CVE-2009-0557,1.0.0-dev,2025-12-29T18:06:39.448Z,Microsoft Office Object Record Corruption,2022-06-08,Wednesday,2022-06-22,14,true,false,3.1,LOCAL,LOW,NONE,UNCHANGED,REQUIRED,HIGH,HIGH,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,7.8,HIGH,active,no,total,0.83761,0.99257,0.0,0,"",false,0,,false,0,
CVE-2009-0563,1.0.0-dev,2025-12-29T18:06:39.447Z,Microsoft Office Buffer Overflow,2022-06-08,Wednesday,2022-06-22,14,true,false,3.1,LOCAL,LOW,NONE,UNCHANGED,REQUIRED,HIGH,HIGH,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,7.8,HIGH,active,no,total,0.80902,0.99111,0.0,0,"",false,0,,false,0,
CVE-2009-0927,1.0.0-dev,2025-12-29T18:06:39.887Z,Adobe Reader and Adobe Acrobat Stack-Based Buffer Overflow,2022-03-25,Friday,2022-04-15,21,false,false,3.1,NETWORK,LOW,NONE,UNCHANGED,REQUIRED,HIGH,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,8.8,HIGH,active,no,total,0.93673,0.99831,0.0,0,"",true,2,-4745,false,0,
CVE-2009-1123,1.0.0-dev,2025-12-29T18:06:40.099Z,Microsoft Windows Improper Input Validation,2022-03-03,Thursday,2022-03-24,21,false,false,3.1,LOCAL,LOW,NONE,UNCHANGED,REQUIRED,HIGH,HIGH,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,7.8,HIGH,active,no,total,0.04295,0.88488,0.0,0,"",false,0,,false,0,
CVE-2009-1151,1.0.0-dev,2025-12-29T18:06:39.885Z,phpMyAdmin Remote Code Execution,2022-03-25,Friday,2022-04-15,21,false,false,3.1,NETWORK,LOW,NONE,UNCHANGED,NONE,HIGH,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,active,yes,total,0.92956,0.99762,0.0,0,"",true,1,-4512,true,1,-345
CVE-2009-1862,1.0.0-dev,2025-12-29T18:06:39.445Z,"Adobe Acrobat and Reader, Flash Player Unspecified",2022-06-08,Wednesday,2022-06-22,14,true,false,3.1,LOCAL,LOW,NONE,UNCHANGED,REQUIRED,HIGH,HIGH,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,7.8,HIGH,active,no,total,0.58566,0.98109,0.0,1,other,false,0,,false,0,
CVE-2009-2055,1.0.0-dev,2025-12-29T18:06:39.883Z,Cisco IOS XR Border Gateway Protocol (BGP) Denial-of-Service,2022-03-25,Friday,2022-04-15,21,false,false,,,,,,,,,,,,,active,no,partial,0.01671,0.81657,0.0,0,"",false,0,,false,0,
CVE-2009-3129,1.0.0-dev,2025-12-29T18:06:40.097Z,Microsoft Excel Featheader Record Memory Corruption,2022-03-03,Thursday,2022-03-24,21,false,false,3.1,LOCAL,LOW,NONE,UNCHANGED,REQUIRED,HIGH,HIGH,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,7.8,HIGH,active,no,total,0.91648,0.99659,0.0,0,"",true,1,-4402,false,0,
CVE-2009-3953,1.0.0-dev,2025-12-29T18:06:39.443Z,Adobe Acrobat and Reader Universal 3D Remote Code Execution,2022-06-08,Wednesday,2022-06-22,14,true,false,3.1,NETWORK,LOW,NONE,UNCHANGED,REQUIRED,HIGH,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,8.8,HIGH,active,no,total,0.90514,0.99585,0.0,1,code_execution,true,1,-4578,false,0,
CVE-2009-3960,1.0.0-dev,2025-12-29T18:06:39.935Z,Adobe BlazeDS Information Disclosure,2022-03-07,Monday,2022-09-07,184,false,true,3.1,NETWORK,LOW,NONE,UNCHANGED,REQUIRED,HIGH,NONE,NONE,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,6.5,MEDIUM,active,no,partial,0.8874,0.99487,0.0,2,access_ctrl,true,1,-4141,false,0,
CVE-2009-4324,1.0.0-dev,2025-12-29T18:06:39.441Z,Adobe Acrobat and Reader Use-After-Free,2022-06-08,Wednesday,2022-06-22,14,true,false,3.1,LOCAL,LOW,NONE,UNCHANGED,REQUIRED,HIGH,HIGH,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,7.8,HIGH,active,no,total,0.93013,0.99766,0.0,2,use_after_free,true,2,-4558,false,0,
CVE-2010-0188,1.0.0-dev,2025-12-29T18:06:40.096Z,Adobe Reader and Acrobat Arbitrary Code Execution,2022-03-03,Thursday,2022-03-24,21,false,true,3.1,LOCAL,LOW,LOW,UNCHANGED,NONE,HIGH,HIGH,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,7.8,HIGH,active,no,total,0.93597,0.99822,0.0,2,code_execution,true,1,-4370,false,0,
CVE-2010-0232,1.0.0-dev,2025-12-29T18:06:40.094Z,Microsoft Windows Kernel Exception Handler,2022-03-03,Thursday,2022-03-24,21,false,false,3.1,LOCAL,LOW,LOW,UNCHANGED,NONE,HIGH,HIGH,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,7.8,HIGH,active,no,total,0.75583,0.98853,0.0,0,"",true,1,-3034,false,0,
CVE-2010-0738,1.0.0-dev,2025-12-29T18:06:39.516Z,Red Hat JBoss Authentication Bypass,2022-05-25,Wednesday,2022-06-15,21,false,true,3.1,NETWORK,LOW,NONE,UNCHANGED,NONE,NONE,LOW,NONE,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,5.3,MEDIUM,active,yes,partial,0.91288,0.99632,0.0,0,"",true,7,-4476,false,0,
CVE-2010-0840,1.0.0-dev,2025-12-29T18:06:39.514Z,Oracle JRE Unspecified,2022-05-25,Wednesday,2022-06-15,21,false,false,3.1,NETWORK,LOW,NONE,UNCHANGED,NONE,HIGH,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,active,yes,total,0.92192,0.99698,0.0,0,"",true,1,-4295,false,0,
CVE-2010-1297,1.0.0-dev,2025-12-29T18:06:39.439Z,Adobe Flash Player Memory Corruption,2022-06-08,Wednesday,2022-06-22,14,true,false,3.1,LOCAL,LOW,NONE,UNCHANGED,REQUIRED,HIGH,HIGH,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,7.8,HIGH,active,no,total,0.93388,0.99801,0.0,3,memory_corruption,true,2,-4381,false,0,
CVE-2010-1428,1.0.0-dev,2025-12-29T18:06:39.512Z,Red Hat JBoss Information Disclosure,2022-05-25,Wednesday,2022-06-15,21,false,true,3.1,NETWORK,LOW,NONE,UNCHANGED,NONE,HIGH,NONE,NONE,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5,HIGH,active,yes,partial,0.65338,0.9841,0.0,0,"",true,1,-4356,false,0,
CVE-2010-1871,1.0.0-dev,2025-12-29T18:06:40.260Z,Red Hat Linux JBoss Seam 2 Remote Code Execution,2021-12-10,Friday,2022-06-10,182,false,false,3.1,NETWORK,LOW,NONE,UNCHANGED,REQUIRED,HIGH,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,8.8,HIGH,active,no,total,0.93788,0.99845,0.0,0,"",true,2,-3683,false,0,
CVE-2010-2568,1.0.0-dev,2025-12-29T18:06:39.286Z,Microsoft Windows Remote Code Execution,2022-09-15,Thursday,2022-10-06,21,false,false,3.1,LOCAL,LOW,NONE,UNCHANGED,REQUIRED,HIGH,HIGH,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,7.8,HIGH,active,no,total,0.92789,0.99749,0.0,0,"",true,3,-4425,false,0,
CVE-2010-2572,1.0.0-dev,2025-12-29T18:06:39.437Z,Microsoft PowerPoint Buffer Overflow,2022-06-08,Wednesday,2022-06-22,14,true,false,3.1,LOCAL,LOW,NONE,UNCHANGED,REQUIRED,HIGH,HIGH,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,7.8,HIGH,active,no,total,0.74724,0.9881,0.0,0,"",false,0,,false,0,
CVE-2010-2861,1.0.0-dev,2025-12-29T18:06:39.881Z,Adobe ColdFusion Directory Traversal,2022-03-25,Friday,2022-04-15,21,false,true,3.1,NETWORK,LOW,NONE,UNCHANGED,NONE,HIGH,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,active,yes,total,0.94233,0.99921,0.0,3,dir_traversal,true,1,-4223,true,1,-389
CVE-2010-2883,1.0.0-dev,2025-12-29T18:06:39.435Z,Adobe Acrobat and Reader Stack-Based Buffer Overflow,2022-06-08,Wednesday,2022-06-22,14,true,false,3.1,LOCAL,LOW,LOW,UNCHANGED,REQUIRED,HIGH,HIGH,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H,7.3,HIGH,active,no,total,0.92181,0.99697,0.0,3,buffer_overflow,true,2,-4291,false,0,
CVE-2010-3035,1.0.0-dev,2025-12-29T18:06:39.879Z,Cisco IOS XR Border Gateway Protocol (BGP) Denial-of-Service,2022-03-25,Friday,2022-04-15,21,false,false,,,,,,,,,,,,,active,yes,partial,0.03262,0.86752,0.0,0,"",false,0,,false,0,
CVE-2010-3333,1.0.0-dev,2025-12-29T18:06:40.092Z,Microsoft Office Stack-based Buffer Overflow,2022-03-03,Thursday,2022-03-24,21,false,false,3.1,LOCAL,LOW,NONE,UNCHANGED,REQUIRED,HIGH,HIGH,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,7.8,HIGH,active,no,total,0.9379,0.99846,0.0,0,"",true,1,-4082,false,0,
CVE-2010-3765,1.0.0-dev,2025-12-29T18:06:38.128Z,Mozilla Multiple Products Remote Code Execution,2025-10-06,Monday,2025-10-27,21,false,false,3.1,NETWORK,LOW,NONE,UNCHANGED,NONE,HIGH,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,active,yes,total,0.87952,0.99449,0.0,0,"",true,1,-5344,false,0,
CVE-2010-3904,1.0.0-dev,2025-12-29T18:06:39.101Z,Linux Kernel Improper Input Validation,2023-05-12,Friday,2023-06-02,21,false,false,3.1,LOCAL,LOW,LOW,UNCHANGED,NONE,HIGH,HIGH,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,7.8,HIGH,active,no,total,0.01436,0.80254,0.0,0,"",true,1,-1241,false,0,
CVE-2010-3962,1.0.0-dev,2025-12-29T18:06:38.120Z,Microsoft Internet Explorer Uninitialized Memory Corruption,2025-10-06,Monday,2025-10-27,21,false,false,3.1,NETWORK,HIGH,NONE,UNCHANGED,NONE,HIGH,HIGH,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,8.1,HIGH,active,yes,total,0.87119,0.99412,0.0,0,"",true,1,-5410,false,0,
